bif_mean,bif_std,bif_max,bif_min,rtt_avg,label
3516.5714285714284,773.988556578381,4344.0,2896.0,0.18247799999999997,bbr
3620.0,793.1022632674805,4344.0,2896.0,0.16474433333333333,bbr
3723.4285714285716,773.988556578381,4344.0,2896.0,0.16373833333333335,bbr
3620.0,793.1022632674805,4344.0,2896.0,0.161749,bbr
3620.0,793.1022632674805,4344.0,2896.0,0.16037066666666666,bbr
3516.5714285714284,773.988556578381,4344.0,2896.0,0.15850975,bbr
3620.0,793.1022632674805,4344.0,2896.0,0.15691666666666668,bbr
5792.0,1295.130572567878,7240.0,4344.0,0.1925365,bbr
6081.6,1211.4837184213413,7240.0,4344.0,0.192008,bbr
7240.0,1295.130572567878,8688.0,5792.0,0.22694750000000002,bbr
8688.0,1295.130572567878,10136.0,7240.0,0.27531550000000005,bbr
9894.666666666666,1090.0148011227493,11584.0,8688.0,0.310357,bbr
13032.0,1182.2870491833473,14480.0,11584.0,0.0,bbr
16893.333333333332,747.7439847077786,17376.0,15928.0,0.0,bbr
14273.142857142857,2278.5606149915075,18824.0,11584.0,0.55746,bbr
11170.285714285714,1611.185662205085,13032.0,8688.0,0.542261,bbr
8688.0,3395.861010112163,14480.0,5792.0,0.3292385,bbr
7240.0,1448.0,8688.0,5792.0,0.2652715,bbr
7240.0,1448.0,8688.0,5792.0,0.26192550000000003,bbr
7240.0,1295.130572567878,8688.0,5792.0,0.2601155,bbr
6950.4,1211.4837184213413,8688.0,5792.0,0.25722849999999997,bbr
7240.0,1448.0,8688.0,5792.0,0.2554865,bbr
7529.6,1211.4837184213413,8688.0,5792.0,0.254108,bbr
7240.0,1295.130572567878,8688.0,5792.0,0.251725,bbr
8688.0,1295.130572567878,10136.0,7240.0,0.288044,bbr
11342.666666666666,1090.0148011227493,13032.0,10136.0,0.374837,bbr
